time,replicate,genotype,counts
0,1,WT,21666
12,1,WT,17931
24,1,WT,12829
36,1,WT,10580
48,1,WT,8229
60,1,WT,5023
72,1,WT,3597
0,2,WT,21714
12,2,WT,18186
24,2,WT,13057
36,2,WT,10426
48,2,WT,7989
60,2,WT,5191
72,2,WT,3663
0,3,WT,20980
12,3,WT,17651
24,3,WT,13431
36,3,WT,10300
48,3,WT,8486
60,3,WT,5329
72,3,WT,3803
0,1,BaxBak KO,18577
12,1,BaxBak KO,18734
24,1,BaxBak KO,17317
36,1,BaxBak KO,17260
48,1,BaxBak KO,18660
60,1,BaxBak KO,19003
72,1,BaxBak KO,19306
0,2,BaxBak KO,18480
12,2,BaxBak KO,19231
24,2,BaxBak KO,17889
36,2,BaxBak KO,18563
48,2,BaxBak KO,17851
60,2,BaxBak KO,18417
72,2,BaxBak KO,19923
0,3,BaxBak KO,17771
12,3,BaxBak KO,19380
24,3,BaxBak KO,15666
36,3,BaxBak KO,17454
48,3,BaxBak KO,18700
60,3,BaxBak KO,17066
72,3,BaxBak KO,19829